order_id,customer_id,customer_name,restaurant,items,order_total,delivery_minutes,rating,coupon_code,status,order_date,date_format
ORD-1001,CUST-503,Diana Voinea,Taco Fiesta,Guacamole,12 RON,25,5,,completed,2026-04-11,YYYY-MM-DD
ORD-1002,CUST-525,Diana Voinea,Wok Express,Fried Rice|Spring Rolls|Dumplings,-48 RON,40,2,LOYALTY5,completed,2026-05-01,YYYY-MM-DD
ORD-1003,CUST-504,Mihai Ionescu,CURRY CORNER ,Mango Lassi,12 ron,45,1,,completed,2026-13-45,invalid
ORD-1004,CUST-546,Ruxandra Mihail,TACO FIESTA, Chicken Taco,  14  ,33,,,COMPLETED,08-04-2026,DD-MM-YYYY
ORD-1005,CUST-511,Stefan Iorga,Curry Corner,Chicken Tikka,32 RON,56,2,,completed,2026-04-03,YYYY-MM-DD
ORD-1006,CUST-509,Bogdan Florea,Sushi House,Sashimi Platter,45 RON,50,1,,completed,2026-04-23,YYYY-MM-DD
ORD-1007,CUST-539,Diana Voinea,Dessert Den,Coffee,8 RON,58,5,,completed,2026-04-14,YYYY-MM-DD
ORD-1008,CUST-529,Maria Popa,Burger Planet,Cheeseburger,,,,,refunded,2026-04-07,YYYY-MM-DD
ORD-1009,CUST-538,Ana Popescu,Curry Corner,Chicken Tikka,32 RON,48,five,,completed,2026-04-13,YYYY-MM-DD
ORD-1010,CUST-518,Ioana Marin,BBQ Barn,Coleslaw|Iced Tea|BBQ Ribs,71 RON,50,,,completed,2026-04-13,YYYY-MM-DD
ORD-1011,CUST-547,Vlad Dima,Wok Express,Green Tea|Dumplings,21 RON,49,1,,completed,2026-04-01,YYYY-MM-DD
ORD-1012,CUST-509,Ruxandra Mihail,burger planet,chicken burger|onion rings,-10 RON,212,3,,,2026/04/17,YYYY/MM/DD
ORD-1013,CUST-536,Alexandru Dumitru,Burger Planet,Chicken Burger,28 RON,50,,,completed,2026-04-02,YYYY-MM-DD
ORD-1014,CUST-530,Andrei Stan, Salad Station ,caesar salad|Greek Salad | Fruit Cup,57 RON,60,1,,completed,2026-13-45,invalid
